name,namelt,link,risk
Afghanistan,Afganistanas,https://keliauk.urm.lt/lt/countries/view/afganistanas,
Albania,Albanija,,
Algeria,Alžyras,,
Angola,Angola,,
Antarctica,Antarktida,,
Argentina,Argentina,,
Armenia,Armenija,,
Australia,Australija,,
Austria,Austrija,,
Azerbaijan,Azerbaidžanas,,
Bahamas,Bahamos,,
Bangladesh,Bangladešas,,
Belarus,Baltarusija,,
Belgium,Belgija,,
Belize,Belizas,,
Benin,Beninas,,
Bhutan,Butanas,,
Bolivia,Bolivija,,
Bosnia and Herz.,Bosnija ir Hercegovina,,
Botswana,Botsvana,,
Brazil,Brazilija,,
Brunei,Brunejus,,
Bulgaria,Bulgarija,,
Burkina Faso,Burkina Fasas,,
Burundi,Burundis,,
Cambodia,Kambodža,,
Cameroon,Kamerunas,,
Canada,Kanada,,
Central African Rep.,Centrines Afrikos Respublika,,
Chad,Cadas,,
Chile,Cile,,
China,Kinija,,
Colombia,Kolumbija,,
Congo,Kongas,,
Costa Rica,Kosta Rika,,
Croatia,Kroatija,,
Cuba,Kuba,,
Cyprus,Kipras,,
Czechia,Cekija,,
Côte dIvoire,Dramblio Kaulo Krantas,,
Dem. Rep. Congo,Kongo Demokratine Respublika,,
Denmark,Danija,,
Djibouti,Džibutis,,
Dominican Rep.,Dominikos Respublika,,
Ecuador,Ekvadoras,,
Egypt,Egiptas,,
El Salvador,Salvadoras,,
Eq. Guinea,Pusiaujo Gvineja,,
Eritrea,Eritreja,,
Estonia,Estija,,
Ethiopia,Etiopija,,
Falkland Is.,Folklando Salos,,
Fiji,Fidžis,,
Finland,Suomija,,
Fr. S. Antarctic Lands,Prancuzijos Pietu ir Antarkties Žemes,,
France,Prancuzija,,
Gabon,Gabonas,,
Gambia,Gambija,,
Georgia,Gruzija,,
Germany,Vokietija,,
Ghana,Gana,,
Greece,Graikija,,
Greenland,Grenlandija,,
Guatemala,Gvatemala,,
Guinea,Gvineja,,
Guinea-Bissau,Bisau Gvineja,,
Guyana,Gajana,,
Haiti,Haitis,,
Honduras,Honduras,,
Hungary,Vengrija,,
Iceland,Islandija,,
India,Indija,,
Indonesia,Indonezija,,
Iran,Iranas,,
Iraq,Irakas,,
Ireland,Airija,,
Israel,Izraelis,,
Italy,Italija,,
Jamaica,Jamaika,,
Japan,Japonija,,
Jordan,Jordanija,,
Kazakhstan,Kazachstanas,,
Kenya,Kenija,,
Kosovo,Kosovas,,
Kuwait,Kuveitas,,
Kyrgyzstan,Kirgizija,,
Laos,Laosas,,
Latvia,Latvija,,
Lebanon,Libanas,,
Lesotho,Lesotas,,
Liberia,Liberija,,
Libya,Libija,,
Lithuania,Lietuva,,
Luxembourg,Liuksemburgas,,
Madagascar,Madagaskaras,,
Malawi,Malavis,,
Malaysia,Malaizija,,
Mali,Malis,,
Mauritania,Mauritanija,,
Mexico,Meksika,,
Moldova,Moldova,,
Mongolia,Mongolija,,
Montenegro,Juodkalnija,,
Morocco,Marokas,,
Mozambique,Mozambikas,,
Myanmar,Mianmaras,,
N. Cyprus,Šiaures Kipras,,
Namibia,Namibija,,
Nepal,Nepalas,,
Netherlands,Nyderlandai,,
New Caledonia,Naujoji Kaledonija,,
New Zealand,Naujoji Zelandija,,
Nicaragua,Nikaragva,,
Niger,Nigeris,,
Nigeria,Nigerija,,
North Korea,Šiaures Koreja,,
North Macedonia,Šiaures Makedonija,,
Norway,Norvegija,,
Oman,Omanas,,
Pakistan,Pakistanas,,
Palestine,Palestina,,
Panama,Panama,,
Papua New Guinea,Papua Naujoji Gvineja,,
Paraguay,Paragvajus,,
Peru,Peru,,
Philippines,Filipinai,,
Poland,Lenkija,,
Portugal,Portugalija,,
Puerto Rico,Puerto Rikas,,
Qatar,Kataras,,
Romania,Rumunija,,
Russia,Rusija,,
Rwanda,Ruanda,,
S. Sudan,Pietu Sudanas,,
Saudi Arabia,Saudo Arabija,,
Senegal,Senegalas,,
Serbia,Serbija,,
Sierra Leone,Siera Leone,,
Slovakia,Slovakija,,
Slovenia,Slovenija,,
Solomon Is.,Saliamono Salos,,
Somalia,Somalis,,
Somaliland,Somalis,,
South Africa,Pietu Afrika,,
South Korea,Pietu Koreja,,
Spain,Ispanija,,
Sri Lanka,Šri Lanka,,
Sudan,Sudanas,,
Suriname,Surinamas,,
Sweden,Švedija,,
Switzerland,Šveicarija,,
Syria,Sirija,,
Taiwan,Taivanas,,
Tajikistan,Tadžikistanas,,
Tanzania,Tanzanija,,
Thailand,Tailandas,,
Timor-Leste,Rytu Timoras,,
Togo,Togas,,
Trinidad and Tobago,Trinidadas ir Tobagas,,
Tunisia,Tunisas,,
Turkey,Turkija,,
Turkmenistan,Turkmenistanas,,
Uganda,Uganda,,
Ukraine,Ukraina,,
United Arab Emirates,Jungtiniai Arabu Emyratai,,
United Kingdom,Jungtine Karalyste,,
United States of America,Jungtines Amerikos Valstijos,,
Uruguay,Urugvajus,,
Uzbekistan,Uzbekistanas,,
Vanuatu,Vanuatu,,
Venezuela,Venesuela,,
Vietnam,Vietnamas,,
W. Sahara,Vakaru Sachara,,
Yemen,Jemenas,,
Zambia,Zambija,,
Zimbabwe,Zimbabve,,
eSwatini,Esvatinis,,
eSwatini,Esvatinis,,
